1796,25.03025
1799,25.2841666666667
1800,25.2073333333333
1802,25.6281666666667
1803,25.3790833333333
1804,25.6790833333333
1805,25.3019166666667
1806,25.2208333333333
1813,24.56125
1815,24.0871666666667
1816,23.69775
1817,23.8595833333333
1818,24.3693333333333
1819,23.9033333333333
1820,24.1175
1821,24.826
1822,24.9339166666667
1823,24.6343333333333
1824,25.2953333333333
1825,25.1145
1826,25.11675
1827,25.3570833333333
1828,24.8996666666667
1829,24.70725
1830,25.0691666666667
1831,24.426
1833,24.8450833333333
1834,24.8156666666667
1835,23.8973333333333
1836,24.5430833333333
1837,24.4165833333333
1838,24.3814166666667
1839,24.4546666666667
1840,24.7155
1841,24.4935833333333
1842,24.7760833333333
1843,24.7464166666667
1844,24.3558333333333
1845,24.6039166666667
1846,25.1559166666667
1847,24.661
1848,24.4499166666667
1849,24.4905
1850,24.7779166666667
1851,24.7575833333333
1852,24.652
1853,24.8829166666667
1854,25.0213333333333
1857,24.3010833333333
1870,24.8895
1871,24.8824166666667
1872,24.9439166666667
1873,25.0563333333333
1875,25.3828333333333
1876,24.9315
1877,25.0816666666667
1878,25.18275
1879,24.8599166666667
1880,25.4543333333333
1881,25.0870833333333
1882,24.8911666666667
1883,24.8249166666667
1884,24.6666666666667
1885,24.3765833333333
1886,24.8936666666667
1887,24.8973333333333
1888,24.8824166666667
1889,25.21475
1890,25.0579166666667
1891,24.6791666666667
1892,25.4875833333333
1893,23.8379166666667
1894,24.7359166666667
1895,25.1514166666667
1896,25.8344166666667
1897,25.3940833333333
1898,25.5525833333333
1899,25.8554166666667
1900,25.5596666666667
1901,25.4931666666667
1902,25.6608333333333
1903,25.141
1904,25.0685833333333
1905,24.74875
1906,25.1658333333333
1907,25.02425
1908,25.1406666666667
1909,24.74625
1910,24.81025
1911,25.3558333333333
1912,25.2470833333333
1913,24.9440833333333
1914,25.1200833333333
1915,25.7348333333333
1916,25.068
1917,23.8425
1918,25.2798333333333
1919,24.8370833333333
1920,24.9870833333333
1921,26.0425833333333
1922,25.1830833333333
1923,25.2610833333333
1924,24.9821666666667
1925,24.8510833333333
1926,24.77975
1927,24.7319166666667
1928,25.6545
1929,25.3878333333333
1930,25.0985833333333
1931,25.5780833333333
1932,25.6274166666667
1933,24.51875
1934,24.9606666666667
1935,24.806
1936,24.7551666666667
1937,24.80925
1938,25.3604166666667
1939,25.23675
1940,25.0735
1941,26.3020833333333
1942,25.395
1943,25.2526666666667
1944,24.9829166666667
1945,24.7800833333333
1946,25.4678333333333
1947,25.7248333333333
1948,25.4480833333333
1949,25.5984166666667
1950,24.66125
1951,25.5840833333333
1952,25.8359166666667
1953,26.1363333333333
1954,25.6771666666667
1955,25.1535833333333
1956,25.301
1957,24.9058333333333
1958,25.9343333333333
1959,25.5565
1960,25.5349166666667
1961,24.80425
1962,25.1846666666667
1963,25.456
1964,25.048
1965,25.256
1966,25.518
1967,24.9753333333333
1968,25.0209166666667
1969,25.8010833333333
1970,25.3871666666667
1971,24.8066666666667
1972,25.4235
1973,25.5631666666667
1974,25.5206666666667
1975,25.0235833333333
1976,25.32875
1977,25.4050833333333
1978,25.2060833333333
1979,25.8105
1980,26.0155833333333
1981,25.7876666666667
1982,25.1755833333333
1983,24.7473333333333
1984,25.5640833333333
1985,25.8645833333333
1986,25.3090833333333
1987,26.539
1988,26.1056666666667
1989,25.4325833333333
1990,25.53825
1991,25.7386666666667
1992,25.5210833333333
1993,25.9214166666667
1994,25.8691666666667
1995,25.9203333333333
1996,25.5464166666667
1997,24.7081666666667
1998,25.769
1999,26.3628333333333
2000,26.0483333333333
2001,25.8629166666667
2002,26.6343333333333
2003,25.7210833333333
2004,26.2399166666667
